Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,New Year's Day,New Year's Day,GB,False,False,,Public,GB-NIR
2019-01-01,New Year's Day,New Year's Day,GB,False,False,,Public,"GB-ENG,GB-WLS"
2019-01-01,New Year's Day,New Year's Day,GB,False,False,,Public,GB-SCT
2019-01-02,2 January,2 January,GB,False,False,,Public,GB-SCT
2019-03-17,Saint Patrick's Day,Saint Patrick's Day,GB,False,False,,Public,GB-NIR
2019-04-19,Good Friday,Good Friday,GB,False,True,,Public,
2019-04-22,Easter Monday,Easter Monday,GB,False,False,,Public,"GB-ENG,GB-WLS,GB-NIR"
2019-05-06,Early May Bank Holiday,Early May Bank Holiday,GB,False,True,,Public,
2019-05-27,Spring Bank Holiday,Spring Bank Holiday,GB,False,True,,Public,
2019-07-12,Battle of the Boyne,Battle of the Boyne,GB,False,False,,Public,GB-NIR
2019-08-05,Summer Bank Holiday,Summer Bank Holiday,GB,False,False,,Public,GB-SCT
2019-08-26,Summer Bank Holiday,Summer Bank Holiday,GB,False,False,,Public,"GB-ENG,GB-WLS,GB-NIR"
2019-11-30,Saint Andrew's Day,Saint Andrew's Day,GB,False,False,,Public,GB-SCT
2019-12-25,Christmas Day,Christmas Day,GB,False,True,,Public,
2019-12-26,Boxing Day,St. Stephen's Day,GB,False,True,,Public,
