Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Neijoerschdag,New Year's Day,LU,False,True,,Public,
2028-04-14,Karfreideg,Good Friday,LU,False,True,,Bank,
2028-04-17,Ouschterméindeg,Easter Monday,LU,False,True,,Public,
2028-05-01,Dag vun der Aarbecht,Labour Day,LU,False,True,,Public,
2028-05-09,Europadag,Europe Day,LU,False,True,,Public,
2028-05-25,Christi Himmelfaart,Ascension Day,LU,False,True,,Public,
2028-06-05,Péngschtméindeg,Whit Monday,LU,False,True,,Public,
2028-06-23,Groussherzogsgebuertsdag,Sovereign's birthday,LU,False,True,,Public,
2028-08-15,Léiffrawëschdag,Assumption Day,LU,False,True,,Public,
2028-11-01,Allerhellgen,All Saints' Day,LU,False,True,,Public,
2028-12-25,Chrëschtdag,Christmas Day,LU,False,True,,Public,
2028-12-26,Stiefesdag,St. Stephen's Day,LU,False,True,,Public,
