Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Nieuwjaar,New Year's Day,BE,False,True,,Public,
2025-04-18,Goede Vrijdag,Good Friday,BE,False,True,,Bank,
2025-04-20,Pasen,Easter Sunday,BE,False,True,,Public,
2025-04-21,Paasmaandag,Easter Monday,BE,False,True,,Public,
2025-05-01,Dag van de arbeid,Labour Day,BE,False,True,,Public,
2025-05-29,Onze Lieve Heer hemel,Ascension Day,BE,False,True,,Public,
2025-05-30,Day after Ascension Day,Day after Ascension Day,BE,False,True,,Bank,
2025-06-09,Pinkstermaandag,Whit Monday,BE,False,True,,Public,
2025-07-21,Nationale feestdag,Belgian National Day,BE,False,True,,Public,
2025-08-15,Onze Lieve Vrouw hemelvaart,Assumption Day,BE,False,True,,Public,
2025-11-01,Allerheiligen,All Saints' Day,BE,False,True,,Public,
2025-11-11,Wapenstilstand,Armistice Day,BE,False,True,,Public,
2025-12-25,Kerstdag,Christmas Day,BE,False,True,,Public,
2025-12-26,Boxing Day,St. Stephen's Day,BE,False,True,,Bank,
