Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Nova godina,New Year's Day,ME,False,True,,Public,
2024-01-02,Nova godina,New Year's Day,ME,False,True,,Public,
2024-01-06,Badnji dan,Orthodox Christmas Eve,ME,False,True,,Optional,
2024-01-07,Božić,Orthodox Christmas Day,ME,False,True,,Optional,
2024-01-08,Božić,Orthodox Christmas Day,ME,False,True,,Optional,
2024-03-29,Veliki petak,Good Friday,ME,False,True,,Optional,
2024-03-31,Uskrs,Easter Sunday,ME,False,True,,Optional,
2024-04-01,Uskrs,Easter Monday,ME,False,True,,Optional,
2024-05-01,Praznik rada,Labour Day,ME,False,True,,Public,
2024-05-02,Praznik rada,Labour Day,ME,False,True,,Public,
2024-05-03,Vaskrs,Good Friday,ME,False,True,,Optional,
2024-05-06,Vaskrs,Easter Monday,ME,False,True,,Optional,
2024-05-21,Dan nezavisnosti,Independence Day,ME,False,True,,Public,
2024-05-22,Dan nezavisnosti,Independence Day,ME,False,True,,Public,
2024-07-13,Dan državnosti,Statehood Day,ME,False,True,,Public,
2024-07-14,Dan državnosti,Statehood Day,ME,False,True,,Public,
2024-11-01,Svi Sveti,Catholic All Saints' Day,ME,False,True,,Optional,
2024-12-24,Badnji dan,Catholic Christmas Eve,ME,False,True,,Optional,
2024-12-25,Božić,Catholic Christmas Day,ME,False,True,,Optional,
2024-12-26,Božić,Catholic St. Stephen's Day,ME,False,True,,Optional,
